Gene Symbol	Pearson	Spearman
LDHAL6B	-0.560275225	-0.507322854
MASP2	-0.516138229	-0.5
FAM189B	-0.385414835	-0.483333333
PCDH12	-0.36461466	-0.424297924
CPN1	-0.327266201	-0.41008099
MTUS2	-0.383337426	-0.395664789
TMEFF2	-0.389645621	-0.386996904
MED12L	-0.366404349	-0.386515837
HYKK	-0.132151158	-0.382868937
KANSL1L	-0.285692918	-0.368205128
PLIN1	-0.168162222	-0.35
HEPHL1	0.07720533	-0.317223832
LRRC31	-0.068644396	-0.314552189
LRRK2	-0.32480444	-0.314189676
ENDOU	-0.159118928	-0.30356225
FAM69B	-0.210677626	-0.285714286
ZNF211	-0.208451231	-0.283333333
STK31	-0.200798982	-0.275978876
ZNF493	-0.127980888	-0.256965944
SERPINB10	0.504920819	-0.256494057
RPTN	-0.27026836	-0.2423533
CHST5	-0.206536659	-0.228581555
PIK3R6	-0.074979216	-0.227118883
CCDC112	-0.007416111	-0.216094178
TRPC4	-0.215874348	-0.214174725
MUSK	0.002366324	-0.210583745
HOXA3	-0.240037904	-0.209494324
ATMIN	-0.172565751	-0.201803857
MYH15	-0.045273299	-0.196343582
DNAH12	-0.185992401	-0.196260916
ANKRD20A1	-0.392196143	-0.195094448
IP6K2	-0.172077371	-0.19272469
LRFN2	-0.28239958	-0.19071253
AOAH	-0.16330487	-0.183101216
COL6A6	-0.192711486	-0.180365336
COL6A5	-0.177071869	-0.179316049
CNTNAP2	-0.104497815	-0.173924365
SPTBN4	-0.17179389	-0.170361449
MAST1	-0.169760424	-0.170278638
ZNF624	0.080943986	-0.166056166
SCNN1G	-0.065533089	-0.165351182
ZSWIM3	-0.122828444	-0.164835165
MEFV	0.05475688	-0.164115895
DCHS2	-0.170333099	-0.162095985
KCNH1	-0.29717529	-0.16143079
TOPAZ1	-0.150985157	-0.160051764
SPAG16	-0.04759739	-0.158844257
CTNNA2	-0.11122018	-0.157669544
CPEB3	-0.163567936	-0.153555983
NPC1L1	-0.14724064	-0.153512867
OBSCN	-0.082561704	-0.151268817
CUBN	0.030684647	-0.149987845
MT-ND2	-0.081754776	-0.149879849
FLT4	-0.116032638	-0.149572805
ABCB11	-0.182618899	-0.148917544
SMDT1	-0.202782758	-0.145116052
ZNF749	-0.160652821	-0.144658945
LRRCC1	-0.11296233	-0.142420734
PRKG2	-0.253600634	-0.142021859
FEZ1	-0.166250122	-0.141880342
XIRP1	-0.016957533	-0.141833202
ZNF653	-0.05702589	-0.139496928
MYOC	0.105661133	-0.139491107
HBB	-0.222485084	-0.137013558
DLGAP2	-0.21105339	-0.135612701
RHOJ	-0.132955138	-0.135130721
RXRG	-0.130975563	-0.134172048
SCN5A	0.045350828	-0.133333333
ABCA4	-0.287531011	-0.131062951
BEX1	0.25979913	-0.129901961
ATP1A3	-0.140604738	-0.129808454
ZNF606	-0.188179133	-0.121921387
ASB3	-0.05850374	-0.121873943
PSMA8	-0.124654589	-0.119920128
CALM2	-0.153242381	-0.119503357
CCDC141	-0.051358005	-0.119125448
PKHD1L1	-0.150345965	-0.118412674
GMCL1P1	-0.030630346	-0.118007759
DNAH6	-0.170966074	-0.117892844
ANKRD24	-0.170549933	-0.117867575
CCDC57	-0.137494395	-0.116427511
MYOZ2	0.202941316	-0.115899022
SPAG17	-0.037346981	-0.11517758
ACTN3	0.324150896	-0.114758717
PAK3	-0.137372053	-0.114651075
ACTG1	-0.132757189	-0.112463654
NALCN	-0.071663964	-0.111943164
SLIT1	-0.085142924	-0.110640812
